Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
415028 Animal Adoption Fees,,,,,,,,"28,213","53,500",,,"53,500",,"36,500",,"37,595",,"38,723","39,885",,"41,081"
,,,,,,,,,,,,,,,,,,,,,
415029 Board and Impounding Fees,,,,,,,,"71,348","78,000",,,"78,000",,"76,000",,"78,280",,"80,628","83,047",,"85,539"
,,,,,,,,,,,,,,,,,,,,,
415166 Spay and Neutering Services,,,,,,,,"66,182","77,025",,,"77,025",,"77,025",,"79,336",,"81,716","84,167",,"86,692"
,,,,,,,,,,,,,,,,,,,,,
415207 Gymnastics,,,,,,,,"3,800",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415208 Cash Over/Short,,,,,,,,"3,701",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415209 Other Income,,,,,,,,"3,822",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415415 Dangerous Dog Tags,,,,,,,,455,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"8,170",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416195 DMV - Special License Plates,,,,,,,,"7,648","7,000",,,"7,000",,"7,500",,"7,725",,"7,957","8,195",,"8,441"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09112,,,,,,,"399,802",,"405,525",,"405,525",,"397,025","406,896",,"417,023","427,414",,"438,075"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0090 Police,,"4,328,024","4,066,925",,,"4,066,925",,"3,883,385",,"3,964,290",,"4,047,015","4,131,604",,"4,218,100"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10012 Business Center,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415128 Maps and Digital Data,,,,,,,,"3,235",0,,,0,,"3,000",,"3,090",,"3,183","3,278",,"3,377"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10012,,,,,,,"3,235",,0,,0,,"3,000","3,090",,"3,183","3,278",,"3,377"
,,,,,,,,,,,,,,,,,,,,,
10502 Real Estate,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413020 Encroachment Application Fees,,,,,,,,"8,250",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10502,,,,,,,"8,250",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10510 Engineering Program Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415128 Maps and Digital Data,,,,,,,,173,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10510,,,,,,,173,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10512 Surveys,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,516",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10512,,,,,,,"1,516",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10516 Engineering and Construction Management Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,834",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10516,,,,,,,"1,834",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10519 Street Light Installations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416707 DVP Street Lights Reimbursements,,,,,,,,"412,654","510,000",,,"510,000",,"510,000",,"525,300",,"541,059","557,291",,"574,009"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10519,,,,,,,"412,654",,"510,000",,"510,000",,"510,000","525,300",,"541,059","557,291",,"574,009"
,,,,,,,,,,,,,,,,,,,,,
10610 Infrastructure Maintenance Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422044 Maintenance of Roads,,,,,,,,"36,913,701","35,348,954",,,"35,348,954",,"36,555,534",,"37,103,867",,"37,660,425","38,225,332",,"38,798,712"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10610,,,,,,,"36,913,701",,"35,348,954",,"35,348,954",,"36,555,534","37,103,867",,"37,660,425","38,225,332",,"38,798,712"
,,,,,,,,,,,,,,,,,,,,,
10611 Street Maintenance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"19,558",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10611,,,,,,,"19,558",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10613 Mosquito Control,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"2,948",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10613,,,,,,,"2,948",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,5,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10614 Traffic Management Operations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"6,217",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10614,,,,,,,"6,217",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10615 Beach Operations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"30,440",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10615,,,,,,,"30,440",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10652 Heat and Air Conditioning,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"6,492",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10652,,,,,,,"6,492",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10653 General Maintenance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"10,628",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10653,,,,,,,"10,628",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10654 Custodial,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"3,300",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10654,,,,,,,"3,300",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10655 Resort Building Maintenance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,953",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10655,,,,,,,"1,953",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0100 Public Works,,,"37,422,899","35,858,954",,,"35,858,954",,"37,068,534",,"37,632,257",,"38,204,667","38,785,901",,"39,376,098"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0110 Parks and Recreation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
11041 Landscape Asset Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"2,912",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422044 Maintenance of Roads,,,,,,,,0,"4,447,482",,,"4,447,482",,"4,596,705",,"4,665,655",,"4,735,640","4,806,675",,"4,878,776"
,,,,,,,,,,,,,,,,,,,,,
422050 Clean Community,,,,,,,,600,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11041,,,,,,,"3,512",,"4,447,482",,"4,447,482",,"4,596,705","4,665,655",,"4,735,640","4,806,675",,"4,878,776"
,,,,,,,,,,,,,,,,,,,,,
11042 Landscape Maintenance Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"40,481",0,,,0,,"25,000",,"25,750",,"26,523","27,318",,"28,138"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11042,,,,,,,"40,481",,0,,0,,"25,000","25,750",,"26,523","27,318",,"28,138"
,,,,,,,,,,,,,,,,,,,,,
11043 Landscape Life Cycle Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414070 Equipment and Facilities Rentals,,,,,,,,0,"3,500",,,"3,500",,"3,500",,"3,535",,"3,570","3,606",,"3,642"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"20,230",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11043,,,,,,,"20,230",,"3,500",,"3,500",,"3,500","3,535",,"3,570","3,606",,"3,642"
,,,,,,,,,,,,,,,,,,,,,
11044 Landscape Special Zone Management - Resort Area,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"5,259",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11044,,,,,,,"5,259",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,0110 Parks and Recreation,,,,"69,482","4,450,982",,,"4,450,982",,"4,625,205",,"4,694,940",,"4,765,733","4,837,599",,"4,910,556"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,6,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12010 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,0,"75,400",,,"75,400",,"75,400",,"76,154",,"76,916","77,685",,"78,462"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,-154,"305,000",,,"305,000",,"305,000",,"314,150",,"323,575","333,282",,"343,280"
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,-10,"30,000",,,"30,000",,"30,000",,"30,900",,"31,827","32,782",,"33,765"
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"4,745","40,000",,,"40,000",,"40,000",,"41,200",,"42,436","43,709",,"45,020"
,,,,,,,,,,,,,,,,,,,,,
416902 City of Suffolk,,,,,,,,"5,483",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12010,,,,,,,"10,064",,"450,400",,"450,400",,"450,400","462,404",,"474,753","487,457",,"500,527"
,,,,,,,,,,,,,,,,,,,,,
12030 Meyera E. Oberndorf Central Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"24,083",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415075 DO NOT USE - Pendleton Parking Fees,,,,,,,,10,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"109,680",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,"3,330",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,"22,896",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"42,455",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,70,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12030,,,,,,,"202,524",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12031 Great Neck Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"3,891",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414078 Rent - Convention Center,,,,,,,,5,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"24,633",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,230,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,465,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"1,070",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,81,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12031,,,,,,,"30,375",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12032 Bayside Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"7,957",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415075 DO NOT USE - Pendleton Parking Fees,,,,,,,,10,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415076 After School Activity Center,,,,,,,,115,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"27,899",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,450,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,"2,930",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"3,307",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,35,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12032,,,,,,,"42,703",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12033 Oceanfront Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"8,829",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414118 Rent - 1601 Sinking Creek Drive,,,,,,,,141,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415076 After School Activity Center,,,,,,,,35,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"19,656",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,402,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,645,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"1,520",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12033,,,,,,,"31,228",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,7,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12034 Kempsville Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"9,859",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415076 After School Activity Center,,,,,,,,80,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"59,736",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,862,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,"7,133",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"3,965",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,111,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12034,,,,,,,"81,746",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12035 Windsor Woods Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"5,616",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414118 Rent - 1601 Sinking Creek Drive,,,,,,,,139,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415076 After School Activity Center,,,,,,,,20,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"15,964",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,419,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,331,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"1,090",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,105,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12035,,,,,,,"23,684",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12036 Pungo - Blackwater Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"1,000",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"5,096",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,96,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,"1,350",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12036,,,,,,,"7,542",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12038 Princess Anne Area Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"6,634",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414078 Rent - Convention Center,,,,,,,,12,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"48,898",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,860,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,865,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415707 Library Meeting Room Fees,,,,,,,,"1,555",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12038,,,,,,,"58,824",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12050 South Rosemont Youth Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,"1,710",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414187 Rent - VB National Golf Course (TPC),,,,,,,,"7,042",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"9,387",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,120,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415706 Non Resident Library Fees,,,,,,,,75,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12050,,,,,,,"18,334",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,8,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12051 Mobile Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,106,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,"2,244",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,989,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12051,,,,,,,"3,339",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12053 Records Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,10,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12053,,,,,,,10,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12071 Technology Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
